7,1
6.8,1
7.3,2
6.7,1
6.8,1
6.4,2
7,2
6.6,1
7.6,2
6.8,0
6.8,2
6.8,2
7.2,1
6.8,2
7,2
6.8,3
7.2,1
7.4,0
7.2,2
6.7,3
6.6,2
6.5,2
6.7,1
6.4,2
6.8,2
6.8,2
6.8,2
6.6,2
6.4,2
6.4,2
6,2
6.8,2
6.4,2
6.8,2
7,2
7.6,1
7.3,2
6.2,2
7.2,2
6.8,0
6.4,2
6.4,2
6.8,2
6.8,0
7,1
6.7,2
6.4,1
6.7,2
6.8,0
6.4,1
6.8,3
6.8,2
6.8,1
6.4,1
6.4,1
6.4,2
6.4,2
6.2,2
6.9,2
6.8,0
6.6,2
6.4,1
6.6,2
6.4,2
6.4,2
6.4,3
6.7,2
6.4,2
6.4,1
6,2
4.5,2
6.4,2
6.8,2
7,0
6.2,1
6.5,1
6.7,1
6.4,2
6.4,2
6.6,2
6.6,1
7.2,2
6.4,1
7.2,2